batch_id,type,user_count,produced_size_kb,ts0_generated,ts1_serialized,ts2_produced,ts3_created,ts4_consumed,ts5_deserialized,consumed_size_kb,serialize_duration,produce_duration,consume_duration,deserialize_duration,throughput_kbps
64,json,50,7.904296875,1718372798.37678,1718372798.37678,1718372798.38043,1718372798.376,1718372798.3829,1718372798.38307,7.904296875,0.0,0.00365090370178223,0.0068962574005127,0.000176668167114258,1146.17196197061
65,json,50,7.91015625,1718372798.88276,1718372798.88386,1718372798.88899,1718372798.883,1718372798.89005,1718372798.8906,7.91015625,0.00110030174255371,0.00512337684631348,0.00704622268676758,0.000551223754882813,1122.6094606483
66,json,50,7.90625,1718372799.38956,1718372799.38956,1718372799.39483,1718372799.39,1718372799.39662,1718372799.39662,7.90625,0.0,0.00526618957519531,0.0066220760345459,0.0,1193.92316831683
67,json,50,7.9052734375,1718372799.89626,1718372799.89626,1718372799.90059,1718372799.896,1718372799.9012,1718372799.90183,7.9052734375,0.0,0.0043339729309082,0.00520205497741699,0.000625371932983398,1519.64434667033
68,json,50,7.908203125,1718372800.40128,1718372800.40128,1718372800.40957,1718372800.401,1718372800.40957,1718372800.41057,7.908203125,0.0,0.00828838348388672,0.00857162475585938,0.000994443893432617,922.602581219404
69,json,50,7.908203125,1718372800.91096,1718372800.91096,1718372800.91637,1718372800.91,1718372800.91897,1718372800.91935,7.908203125,0.0,0.00541019439697266,0.00897359848022461,0.000373601913452148,881.274456666135
70,json,50,8.0537109375,1718372801.41721,1718372801.41821,1718372801.42397,1718372801.418,1718372801.42769,1718372801.42769,8.0537109375,0.00100207328796387,0.00575351715087891,0.00968766212463379,0.0,831.336893657864
71,json,50,8.0537109375,1718372801.92567,1718372801.92668,1718372801.93235,1718372801.926,1718372801.9363,1718372801.937,8.0537109375,0.0010073184967041,0.00566744804382324,0.0103006362915039,0.000702857971191406,781.865382834923
72,json,50,8.0517578125,1718372802.45907,1718372802.46007,1718372802.50376,1718372802.46,1718372802.50675,1718372802.5072,8.0517578125,0.000993967056274414,0.0436902046203613,0.0467491149902344,0.000449895858764648,172.233374133007
73,json,50,8.05078125,1718372803.00522,1718372803.00522,1718372803.01113,1718372803.006,1718372803.01205,1718372803.01263,8.05078125,0.0,0.00591397285461426,0.00604915618896484,0.000577688217163086,1330.89326816964
74,json,50,8.052734375,1718372803.51192,1718372803.51292,1718372803.51718,1718372803.512,1718372803.52257,1718372803.52302,8.052734375,0.00100159645080566,0.00425314903259277,0.0105652809143066,0.000453710556030273,762.188382903823
75,json,50,8.0517578125,1718372804.01762,1718372804.01861,1718372804.02365,1718372804.018,1718372804.02446,1718372804.02458,8.0517578125,0.000993728637695313,0.00503826141357422,0.00645709037780762,0.000125646591186523,1246.96377801573
76,json,50,8.0517578125,1718372804.52526,1718372804.52526,1718372804.52991,1718372804.525,1718372804.53222,1718372804.53222,8.0517578125,0.0,0.00465083122253418,0.00722217559814453,0.0,1114.86597121352
77,json,50,8.052734375,1718372805.03082,1718372805.03171,1718372805.03614,1718372805.031,1718372805.03697,1718372805.03752,8.052734375,0.000891447067260742,0.00443696975708008,0.0059659481048584,0.000555515289306641,1349.7828397874
78,json,50,8.0517578125,1718372805.53716,1718372805.53716,1718372805.54233,1718372805.537,1718372805.54309,1718372805.54332,8.0517578125,0.0,0.00516986846923828,0.00608658790588379,0.00023198127746582,1322.86889419875
79,json,50,8.0546875,1718372806.05052,1718372806.05152,1718372806.07187,1718372806.051,1718372806.07484,1718372806.07584,8.0546875,0.000998258590698242,0.0203456878662109,0.0238370895385742,0.000998258590698242,337.905661132226
80,json,50,8.052734375,1718372806.57301,1718372806.57301,1718372806.57825,1718372806.573,1718372806.57937,1718372806.5795,8.052734375,0.0,0.00523924827575684,0.00637102127075195,0.000125646591186523,1263.96287703016
81,json,50,8.0556640625,1718372807.08189,1718372807.08247,1718372807.08748,1718372807.082,1718372807.08907,1718372807.08907,8.0556640625,0.000577926635742188,0.00501203536987305,0.00707197189331055,0.0,1139.0972962039
82,json,50,8.052734375,1718372807.58862,1718372807.58862,1718372807.59332,1718372807.588,1718372807.59596,1718372807.59657,8.052734375,0.0,0.0047001838684082,0.00796079635620117,0.000609159469604492,1011.54884696017
83,json,50,8.0498046875,1718372808.09623,1718372808.09645,1718372808.10373,1718372808.096,1718372808.10511,1718372808.10567,8.0498046875,0.000221729278564453,0.00728082656860352,0.0091097354888916,0.000558853149414063,883.648564474339
84,json,50,8.0517578125,1718372808.60529,1718372808.60529,1718372808.61036,1718372808.605,1718372808.61539,1718372808.61596,8.0517578125,0.0,0.00506830215454102,0.0103912353515625,0.000565767288208008,774.860499265786
85,json,50,8.0537109375,1718372809.11215,1718372809.11215,1718372809.11805,1718372809.112,1718372809.1191,1718372809.1191,8.0537109375,0.0,0.00589919090270996,0.00710248947143555,0.0,1133.92789526687
86,json,50,8.0517578125,1718372809.61849,1718372809.62004,1718372809.62495,1718372809.62,1718372809.62789,1718372809.62813,8.0517578125,0.0015561580657959,0.00490379333496094,0.0078885555267334,0.000237703323364258,1020.68848792577
87,json,50,8.05078125,1718372810.12602,1718372810.12602,1718372810.13214,1718372810.126,1718372810.13214,1718372810.13214,8.05078125,0.0,0.00612068176269531,0.00614452362060547,0.0,1310.23684618966
88,json,50,8.0546875,1718372810.63236,1718372810.63332,1718372810.63895,1718372810.633,1718372810.64106,1718372810.64205,8.0546875,0.00096440315246582,0.00562095642089844,0.008056640625,0.000990867614746094,999.757575757576
89,json,50,8.0556640625,1718372811.14087,1718372811.14087,1718372811.14639,1718372811.14,1718372811.147,1718372811.14771,8.0556640625,0.0,0.00551652908325195,0.00699687004089356,0.000711679458618164,1151.32395134085
90,json,50,8.056640625,1718372811.6479,1718372811.64892,1718372811.65651,1718372811.648,1718372811.65908,1718372811.65965,8.056640625,0.00102686882019043,0.00758719444274902,0.0110816955566406,0.000570297241210938,727.022375215146
91,json,50,8.0517578125,1718372812.15806,1718372812.15906,1718372812.16311,1718372812.159,1718372812.1669,1718372812.16793,8.0517578125,0.00100016593933105,0.00405120849609375,0.00790023803710938,0.00102543830871582,1019.17914051183
92,json,50,8.0517578125,1718372812.664,1718372812.66505,1718372812.67031,1718372812.665,1718372812.67186,1718372812.67186,8.0517578125,0.00104832649230957,0.00526547431945801,0.00686097145080566,0.0,1173.55943983042
93,json,50,8.0546875,1718372813.17133,1718372813.17133,1718372813.17633,1718372813.171,1718372813.17691,1718372813.17756,8.0546875,0.0,0.0050046443939209,0.00591182708740234,0.000647544860839844,1362.47007581868
94,json,50,8.052734375,1718372813.67796,1718372813.67796,1718372813.68382,1718372813.677,1718372813.68516,1718372813.68516,8.052734375,0.0,0.00586032867431641,0.00816464424133301,0.0,986.293356694408
95,json,50,8.0556640625,1718372814.18542,1718372814.18641,1718372814.1947,1718372814.187,1718372814.1947,1718372814.19527,8.0556640625,0.000993251800537109,0.00829339027404785,0.00770306587219238,0.000566720962524414,1045.77374725309
96,json,50,8.052734375,1718372814.69523,1718372814.69623,1718372814.70751,1718372814.696,1718372814.71144,1718372814.71172,8.052734375,0.000999927520751953,0.0112826824188232,0.0154430866241455,0.000274181365966797,521.445911104936
97,json,50,8.052734375,1718372815.20859,1718372815.20859,1718372815.21392,1718372815.208,1718372815.21392,1718372815.21454,8.052734375,0.0,0.00533008575439453,0.00592136383056641,0.000618934631347656,1359.94588500564
98,json,50,8.05078125,1718372815.71947,1718372815.71947,1718372815.72687,1718372815.72,1718372815.72787,1718372815.72787,8.05078125,0.0,0.00739693641662598,0.00786685943603516,0.0,1023.3793187053
99,json,50,8.05078125,1718372816.22842,1718372816.22896,1718372816.23655,1718372816.228,1718372816.24109,1718372816.24109,8.05078125,0.000543832778930664,0.00758862495422363,0.0130913257598877,0.0,614.970660547451
100,json,50,8.0556640625,1718372816.74161,1718372816.74262,1718372816.77961,1718372816.742,1718372816.79961,1718372816.79961,8.0556640625,0.0010075569152832,0.0369889736175537,0.057605504989624,0.0,139.841913788465
101,json,100,16.10546875,1718372817.31514,1718372817.31714,1718372817.36053,1718372817.317,1718372817.36612,1718372817.36612,16.10546875,0.00200724601745605,0.043391227722168,0.0491235256195068,0.0,327.856532015783
102,json,100,16.0986328125,1718372817.86221,1718372817.86221,1718372817.86762,1718372817.862,1718372817.86891,1718372817.8695,16.0986328125,0.0,0.00541067123413086,0.00690531730651856,0.000590324401855469,2331.33860442634
103,json,100,16.1083984375,1718372818.37336,1718372818.37489,1718372818.38072,1718372818.374,1718372818.381,1718372818.38158,16.1083984375,0.00152993202209473,0.00582551956176758,0.0070040225982666,0.000572681427001953,2299.8781359567
104,json,100,16.1103515625,1718372818.88168,1718372818.88267,1718372818.88985,1718372818.882,1718372818.89038,1718372818.89116,16.1103515625,0.000995635986328125,0.00717902183532715,0.0083768367767334,0.000782966613769531,1923.20227693183
105,json,100,16.099609375,1718372819.3919,1718372819.3919,1718372819.40011,1718372819.391,1718372819.40111,1718372819.4021,16.099609375,0.0,0.0082087516784668,0.0101072788238525,0.000996589660644531,1592.8727856014
106,json,100,16.1083984375,1718372819.90235,1718372819.90235,1718372819.91139,1718372819.902,1718372819.91247,1718372819.91379,16.1083984375,0.0,0.00904345512390137,0.0104732513427734,0.00131726264953613,1538.05135676562
107,json,100,16.1044921875,1718372820.41339,1718372820.41439,1718372820.42111,1718372820.414,1718372820.42623,1718372820.42681,16.1044921875,0.00100088119506836,0.00672578811645508,0.0122270584106445,0.000587701797485352,1317.11910147414
108,json,100,16.10546875,1718372820.92199,1718372820.92199,1718372820.93175,1718372820.921,1718372820.93408,1718372820.93514,16.10546875,0.0,0.00975942611694336,0.0130767822265625,0.00106430053710938,1231.60793465578
109,json,100,16.107421875,1718372821.43367,1718372821.43461,1718372821.45221,1718372821.434,1718372821.4542,1718372821.4542,16.107421875,0.000934600830078125,0.0176050662994385,0.0202028751373291,0.0,797.283642328617
110,json,100,16.107421875,1718372821.95317,1718372821.95424,1718372821.9629,1718372821.954,1718372821.96345,1718372821.96448,16.107421875,0.0010685920715332,0.00865912437438965,0.0094451904296875,0.00103235244750977,1705.35702746365
111,json,100,16.109375,1718372822.46466,1718372822.4652,1718372822.47059,1718372822.465,1718372822.47257,1718372822.47339,16.109375,0.000540494918823242,0.00538873672485352,0.0075685977935791,0.000826120376586914,2128.44907859505
112,json,100,16.107421875,1718372822.97629,1718372822.97729,1718372822.9923,1718372822.977,1718372822.9939,1718372822.99488,16.107421875,0.00100111961364746,0.0150086879730225,0.0169029235839844,0.000977993011474609,952.937034529452
113,json,100,16.103515625,1718372823.49355,1718372823.49533,1718372823.50255,1718372823.495,1718372823.50657,1718372823.51183,16.103515625,0.00177788734436035,0.00721979141235352,0.0115678310394287,0.0052642822265625,1392.0946433356
114,json,100,16.1044921875,1718372824.00386,1718372824.00386,1718372824.01847,1718372824.003,1718372824.02247,1718372824.02448,16.1044921875,0.0,0.0146150588989258,0.0194671154022217,0.00201535224914551,827.266487856854
115,json,100,16.1064453125,1718372824.51874,1718372824.51974,1718372824.52543,1718372824.519,1718372824.52684,1718372824.52813,16.1064453125,0.000997304916381836,0.00568723678588867,0.00783967971801758,0.00129055976867676,2054.4774648744
116,json,100,16.1015625,1718372825.0269,1718372825.0269,1718372825.03593,1718372825.026,1718372825.03593,1718372825.03726,16.1015625,0.0,0.00903034210205078,0.00993108749389648,0.00133013725280762,1621.32923608777
117,json,100,16.115234375,1718372825.53772,1718372825.53971,1718372825.54951,1718372825.539,1718372825.55247,1718372825.55355,16.115234375,0.00199508666992188,0.00979876518249512,0.0134735107421875,0.00108027458190918,1196.06795016988
118,json,100,16.1083984375,1718372826.05187,1718372826.05263,1718372826.05816,1718372826.052,1718372826.06038,1718372826.06038,16.1083984375,0.000761508941650391,0.00552892684936523,0.00838375091552734,0.0,1921.38323285178
119,json,100,16.1044921875,1718372826.5617,1718372826.5617,1718372826.57131,1718372826.561,1718372826.57291,1718372826.574,16.1044921875,0.0,0.00961470603942871,0.0119071006774902,0.00109148025512695,1352.51163349485
120,json,100,16.1083984375,1718372827.07292,1718372827.07403,1718372827.08184,1718372827.074,1718372827.0854,1718372827.08663,16.1083984375,0.00110936164855957,0.00780630111694336,0.0113976001739502,0.00123167037963867,1413.31492521703
121,json,100,16.1015625,1718372827.5824,1718372827.58331,1718372827.58901,1718372827.583,1718372827.58952,1718372827.58986,16.1015625,0.000912904739379883,0.00569343566894531,0.00652027130126953,0.000344038009643555,2469.46204475647
122,json,100,16.1064453125,1718372828.09283,1718372828.09343,1718372828.10443,1718372828.093,1718372828.10843,1718372828.10943,16.1064453125,0.000592231750488281,0.0110018253326416,0.015425443649292,0.00100159645080566,1044.14794664523
123,json,100,16.1025390625,1718372828.60514,1718372828.60514,1718372828.61125,1718372828.605,1718372828.61385,1718372828.61447,16.1025390625,0.0,0.00610971450805664,0.00885319709777832,0.000616073608398438,1818.83887647106
124,json,100,16.10546875,1718372829.11199,1718372829.11294,1718372829.11794,1718372829.112,1718372829.11794,1718372829.11864,16.10546875,0.000952005386352539,0.0050051212310791,0.00594210624694824,0.000696182250976563,2710.39730369538
125,json,100,16.103515625,1718372829.62753,1718372829.62753,1718372829.65857,1718372829.627,1718372829.67432,1718372829.67515,16.103515625,0.0,0.0310337543487549,0.0473217964172363,0.000830411911010742,340.298062292802
126,json,100,16.1064453125,1718372830.16016,1718372830.16084,1718372830.1663,1718372830.16,1718372830.16744,1718372830.16796,16.1064453125,0.00068211555480957,0.00545668601989746,0.00744414329528809,0.000512838363647461,2163.63988085706
127,json,100,16.103515625,1718372830.66972,1718372830.67066,1718372830.67778,1718372830.67,1718372830.67885,1718372830.67984,16.103515625,0.000943899154663086,0.00712203979492188,0.00885128974914551,0.000990152359008789,1819.34114478114
128,json,100,16.107421875,1718372831.17887,1718372831.18022,1718372831.18441,1718372831.18,1718372831.18617,1718372831.18683,16.107421875,0.00135016441345215,0.00418543815612793,0.00617194175720215,0.000662326812744141,2609.78189825009
129,json,100,16.103515625,1718372831.68602,1718372831.68701,1718372831.69253,1718372831.687,1718372831.69553,1718372831.69653,16.103515625,0.000981569290161133,0.00552487373352051,0.0085291862487793,0.000996589660644531,1888.04830323699
130,json,100,16.1005859375,1718372832.19398,1718372832.19708,1718372832.20725,1718372832.197,1718372832.2093,1718372832.21035,16.1005859375,0.00309848785400391,0.0101664066314697,0.0122964382171631,0.00105500221252441,1309.36988851188
131,json,100,16.1064453125,1718372832.70852,1718372832.70967,1718372832.71857,1718372832.709,1718372832.72063,1718372832.72184,16.1064453125,0.0011439323425293,0.00890564918518066,0.0116300582885742,0.00120902061462402,1384.89807298073
132,json,100,16.0986328125,1718372833.22004,1718372833.22004,1718372833.22613,1718372833.22,1718372833.22935,1718372833.23017,16.0986328125,0.0,0.0060884952545166,0.00934672355651856,0.000827550888061523,1722.38247072928
133,json,100,16.099609375,1718372833.72799,1718372833.72799,1718372833.7368,1718372833.727,1718372833.74009,1718372833.74081,16.099609375,0.0,0.00881075859069824,0.0130901336669922,0.000721216201782227,1229.90412356112
134,json,100,16.1044921875,1718372834.23859,1718372834.23859,1718372834.24798,1718372834.238,1718372834.25076,1718372834.2522,16.1044921875,0.0,0.00938868522644043,0.0127565860748291,0.00144338607788086,1262.44530417718
135,json,100,16.103515625,1718372834.74977,1718372834.75077,1718372834.75898,1718372834.75,1718372834.76053,1718372834.76109,16.103515625,0.00100541114807129,0.00820255279541016,0.0105335712432861,0.000551462173461914,1528.78024490165
136,json,100,16.1064453125,1718372835.25974,1718372835.26118,1718372835.26957,1718372835.261,1718372835.271,1718372835.27182,16.1064453125,0.001434326171875,0.00838851928710938,0.0100007057189941,0.000817537307739258,1610.53087302723
137,json,100,16.1064453125,1718372835.77095,1718372835.77219,1718372835.78016,1718372835.772,1718372835.78116,1718372835.78116,16.1064453125,0.00124359130859375,0.00796985626220703,0.00916385650634766,0.0,1757.60557810386
138,json,100,16.109375,1718372836.28192,1718372836.28192,1718372836.28707,1718372836.281,1718372836.28955,1718372836.29033,16.109375,0.0,0.00515365600585938,0.00854563713073731,0.000783443450927734,1885.09934994281
